Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha)
126,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,4B,1154.0,13.5,,
127,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,5A,1153.0,8.5,,
128,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,5B,1154.0,8.9,,
129,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,6A,1153.0,1.7,,
130,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,6B,1154.0,12.1,,
131,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,6C,1154.0,12.6,,
132,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,7A,1153.0,2.5,,
133,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,7B,1154.0,25.6,,
134,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,8,1154.0,50.1,,
135,Faţa Gardului - Răchitiş,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,9,1154.0,33.9,,
136,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,14A,1114.0,19.8,,
137,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,14B,1154.0,6.3,,
138,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,15A,1114.0,8.5,,
139,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,16B,1152.0,40.0,,
140,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,16C,1154.0,9.2,,
141,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,17B,1114.0,44.3,,
142,Curmătura Tihului,2011.0,,publică UAT,47.14173611111111,25.16568611111111,1540.0,1810.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,17C,1114.0,4.9,,
143,Valea Buţii,2009.0,,privată PJ,45.30483333333333,22.94621666666667,1000.0,1300.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,7A,1341.0,34.7,,
144,Valea Buţii,2009.0,,privată PJ,45.31491111111111,22.909955555555555,1400.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,11A,1151.0,37.3,,
145,Valea Buţii,2009.0,,privată PJ,45.325025000000004,22.91724166666667,1400.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,13A,1151.0,20.9,,
146,Valea Buţii,2009.0,,privată PJ,45.320688888888895,22.919961111111114,1350.0,1850.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,14A,1151.0,33.5,,
147,Valea Buţii,2009.0,,privată PJ,45.316091666666665,22.917908333333333,1200.0,1500.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,15B,1151.0,19.0,,
148,Valea Buţii,2009.0,,privată PJ,45.31183055555555,22.936983333333334,1300.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orăştiei RA,I Campul lui Neag,18D,1114.0,41.2,,
149,Joagăre- Dl. Dobrei,2014.0,,publică UAT,45.711063888888894,23.751727777777777,,,Sibiu,Com. Jina/ S.C. O.S. JINA S.R.L.,I,127A,1311.0,27.0,,
150,Joagăre- Dl. Dobrei,2014.0,,publică UAT,45.711063888888894,23.751727777777777,,,Sibiu,Com. Jina/ S.C. O.S. JINA S.R.L.,I,127B,1311.0,2.8,,
151,Magura Codlei,2014.0,,publică UAT,45.54359722222222,21.827283333333334,880.0,1287.0,BRASOV,mun. Codlea/OS Codrii Cetăților,II Codlea,27,4231.0,24.8,,
1,Dobrele - Fata Moartă       ,2016.0,,publică stat,46.09708611111111,26.521291666666666,770.0,1150.0,Bacău,O.S. Oituz,V Buciaş,31,221.1,29.72,,
2,Dobrele - Fata Moartă       ,2016.0,,publică stat,46.095025,26.513291666666667,770.0,1150.0,Bacău,O.S. Oituz,V Buciaş,33A,221.1,28.98,,
3,Dobrele - Fata Moartă       ,2016.0,,publică stat,46.09369166666667,26.507202777777778,770.0,1150.0,Bacău,O.S. Oituz,V Buciaş,34,221.1,40.14,,
4,Păcura,2016.0,,publică stat,46.123127777777775,26.53971388888889,750.0,950.0,Bacău,O.S. Oituz,V Buciaş,49,221.1,28.3,,
5,Păcura,2016.0,,publică stat,46.11911388888889,26.53967777777778,750.0,950.0,Bacău,O.S. Oituz,V Buciaş,50,221.1,26.07,,
6,Boceasa,2015.0,,publică stat,46.691513888888885,22.765641666666667,1550.0,1650.0,Bihor,OS Remeţi,I Boceasa,79E,1154.0,5.75,,
