Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha),geometry,tree_cover,loss_year
136,Cosava Mare,2015,,publica stat,45.08738611,22.05876389,770.0,1050.0,Caras Severin,O.S. Nera,II ,59A,4111.0,31.04,,,POINT (22.05876389 45.08738611),100,0
137,Cosava Mare,2015,,publica stat,45.0899,22.04749167,1050.0,1050.0,Caras Severin,O.S. Nera,II ,59B,4111.0,0.95,,,POINT (22.04749167 45.0899),83,0
138,Cosava Mare,2015,,publica stat,45.08979722,22.06000278,770.0,1000.0,Caras Severin,O.S. Nera,II ,60,4111.0,34.1,,,POINT (22.06000278 45.08979722),100,0
139,Cosava Mare,2015,,publica stat,45.09367222,22.058675,780.0,1000.0,Caras Severin,O.S. Nera,II ,61,4111.0,36.16,,,POINT (22.058675 45.09367222),94,0
140,Cosava Mare,2015,,publica stat,45.09633056,22.05936944,780.0,1000.0,Caras Severin,O.S. Nera,II ,62A,4111.0,36.02,,,POINT (22.05936944 45.09633056),100,0
141,Cosava Mare,2015,,publica stat,45.09631944,22.05042778,1050.0,1050.0,Caras Severin,O.S. Nera,II ,62B,4111.0,0.59,,,POINT (22.05042778 45.09631944),100,0
142,Cosava Mare,2015,,publica stat,45.09656944,22.06122778,780.0,1050.0,Caras Severin,O.S. Nera,II ,63,4111.0,38.12,,,POINT (22.06122778 45.09656944),100,0
143,Cosava Mare,2015,,publica stat,45.10447222,22.05426111,800.0,1250.0,Caras Severin,O.S. Nera,II ,64,4111.0,49.22,,,POINT (22.05426111 45.10447222),98,0
144,Cosava Mare,2015,,publica stat,45.1051,22.05351111,900.0,1150.0,Caras Severin,O.S. Nera,II ,65A,4111.0,43.12,,,POINT (22.05351111 45.1051),98,0
145,Cosava Mare,2015,,publica stat,45.106675,22.04332222,1100.0,1100.0,Caras Severin,O.S. Nera,II ,65B,4111.0,3.31,,,POINT (22.04332222 45.106675),97,0
